#SampleID	day	hour	vessel
D17Hr8V6	17	8	6
D16Hr8V2	16	8	2
D10Hr8V1	10	8	1
D25Hr8V8	25	8	8
D22Hr16V7	22	16	7
D10Hr16V8	10	16	8
D4HrNAV8	4	NA	8
D29Hr16V3	29	16	3
D15Hr16V8	15	16	8
D24Hr8V2	24	8	2
D25Hr16V7	25	16	7
D24Hr8V1	24	8	1
D27Hr16V1	27	16	1
D11Hr8V7	11	8	7
D24Hr16V3	24	16	3
D26Hr16V3	26	16	3
D29Hr8V4	29	8	4
D28Hr8V3	28	8	3
D16Hr8V8	16	8	8
D14Hr8V1	14	8	1
D13Hr16V7	13	16	7
D18Hr16V2	18	16	2
D25Hr16V6	25	16	6
D17Hr16V3	17	16	3
D23Hr8V4	23	8	4
D30Hr8V3	30	8	3
D18Hr16V7	18	16	7
D25Hr8V2	25	8	2
D10Hr8V6	10	8	6
D23Hr8V3	23	8	3
D17Hr8V1	17	8	1
D3HrNAV3	3	NA	3
D11Hr8V1	11	8	1
D26Hr16V6	26	16	6
D14Hr16V4	14	16	4
D14Hr16V8	14	16	8
D27Hr16V3	27	16	3
D16Hr16V6	16	16	6
D24Hr16V4	24	16	4
D28Hr16V2	28	16	2
D15Hr16V2	15	16	2
D2HrNAV4	2	NA	4
D10Hr16V3	10	16	3
D11Hr8V4	11	8	4
D30Hr16V6	30	16	6
D20Hr16V8	20	16	8
D14Hr8V4	14	8	4
D1HrNAV3	1	NA	3
D17Hr16V4	17	16	4
D24Hr16V2	24	16	2
D19Hr16V3	19	16	3
D17Hr8V7	17	8	7
D20Hr16V6	20	16	6
D28Hr16V1	28	16	1
D19Hr16V1	19	16	1
D29Hr8V3	29	8	3
D26Hr16V1	26	16	1
D8HrNAV1	8	NA	1
D20Hr16V2	20	16	2
D13Hr16V6	13	16	6
D15Hr8V8	15	8	8
D12Hr16V8	12	16	8
D19Hr16V8	19	16	8
D25Hr8V1	25	8	1
D22Hr16V8	22	16	8
D20Hr16V4	20	16	4
D17Hr8V3	17	8	3
D24Hr8V8	24	8	8
D8HrNAV7	8	NA	7
D26Hr16V7	26	16	7
D26Hr16V8	26	16	8
D16Hr8V6	16	8	6
D28Hr8V6	28	8	6
D4HrNAV2	4	NA	2
D7HrNAV8	7	NA	8
D16Hr8V3	16	8	3
D19Hr16V4	19	16	4
D15Hr8V4	15	8	4
D12Hr16V3	12	16	3
D7HrNAV4	7	NA	4
D16Hr16V1	16	16	1
D18Hr8V7	18	8	7
D23Hr16V2	23	16	2
D11Hr16V6	11	16	6
D2HrNAV3	2	NA	3
D26Hr16V2	26	16	2
D8HrNAV4	8	NA	4
D28Hr8V7	28	8	7
D10Hr8V4	10	8	4
D25Hr8V4	25	8	4
D25Hr16V3	25	16	3
D28Hr8V4	28	8	4
D23Hr16V7	23	16	7
D28Hr16V8	28	16	8
D22Hr16V2	22	16	2
D25Hr16V1	25	16	1
D4HrNAV3	4	NA	3
D14Hr16V2	14	16	2
D28Hr16V3	28	16	3
D16Hr8V1	16	8	1
D21Hr8V1	21	8	1
D3HrNAV2	3	NA	2
D3HrNAV8	3	NA	8
D27Hr16V2	27	16	2
D30Hr16V8	30	16	8
D22Hr8V2	22	8	2
D8HrNAV3	8	NA	3
D3HrNAV7	3	NA	7
D1HrNAV1	1	NA	1
D24Hr16V1	24	16	1
D4HrNAV6	4	NA	6
D29Hr16V2	29	16	2
D11Hr16V8	11	16	8
D15Hr16V3	15	16	3
D20Hr16V3	20	16	3
D10Hr8V8	10	8	8
D27Hr16V8	27	16	8
D8HrNAV8	8	NA	8
D29Hr8V6	29	8	6
D24Hr8V4	24	8	4
D10Hr16V2	10	16	2
D20Hr16V7	20	16	7
D4HrNAV7	4	NA	7
D13Hr16V3	13	16	3
D12Hr16V6	12	16	6
D14Hr8V8	14	8	8
D17Hr16V1	17	16	1
D14Hr16V7	14	16	7
D26Hr16V4	26	16	4
D16Hr16V3	16	16	3
D23Hr16V3	23	16	3
D28Hr16V4	28	16	4
D23Hr16V1	23	16	1
D11Hr8V3	11	8	3
D30Hr16V1	30	16	1
D30Hr16V7	30	16	7
D16Hr8V4	16	8	4
D7HrNAV2	7	NA	2
D16Hr16V7	16	16	7
D22Hr16V6	22	16	6
D25Hr8V3	25	8	3
D12Hr16V2	12	16	2
D30Hr16V4	30	16	4
D23Hr16V8	23	16	8
D25Hr8V7	25	8	7
D21Hr16V8	21	16	8
D1HrNAVNA	1	NA	NA
D22Hr8V3	22	8	3
D11Hr8V6	11	8	6
D10Hr16V6	10	16	6
D17Hr16V7	17	16	7
D17Hr8V4	17	8	4
D16Hr8V7	16	8	7
D30Hr8V7	30	8	7
D15Hr16V7	15	16	7
D30Hr8V8	30	8	8
D29Hr16V7	29	16	7
D28Hr16V7	28	16	7
D16Hr16V2	16	16	2
D21Hr8V6	21	8	6
D18Hr16V3	18	16	3
D14Hr8V6	14	8	6
D12Hr16V4	12	16	4
D18Hr8V3	18	8	3
D11Hr16V1	11	16	1
D22Hr8V7	22	8	7
D2HrNAV6	2	NA	6
D18Hr16V4	18	16	4
D21Hr16V1	21	16	1
D29Hr8V7	29	8	7
D21Hr8V3	21	8	3
D15Hr8V2	15	8	2
D14Hr16V6	14	16	6
D27Hr16V6	27	16	6
D1HrNAV8	1	NA	8
D21Hr16V4	21	16	4
D15Hr8V6	15	8	6
D10Hr8V3	10	8	3
D21Hr16V7	21	16	7
D18Hr16V6	18	16	6
D23Hr16V4	23	16	4
D2HrNAV7	2	NA	7
D1HrNAV7	1	NA	7
D27Hr16V4	27	16	4
D7HrNAV3	7	NA	3
D21Hr8V2	21	8	2
D3HrNAV1	3	NA	1
