kegg,name,EC,EC1,EC2,EC3,cog,cogid,cogcat,cogdesc
K00123,formate dehydrogenase major subunit [EC:1.17.1.9],1.17.1.9,Oxidoreductases,Acting on CH or CH(2) groups,With NAD(+) or NADP(+) as acceptor,Anaerobic selenocysteine-containing dehydrogenase,COG0243,C,Energy production and conversion
K00124,formate dehydrogenase iron-sulfur subunit,NA,NA,NA,NA,Fe-S-cluster-containing dehydrogenase component,COG0437,C,Energy production and conversion
K00127,formate dehydrogenase subunit gamma,NA,NA,NA,NA,Cytochrome b subunit of formate dehydrogenase,COG2864,C,Energy production and conversion
K00128,aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],1.2.1.3,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00129,aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5],1.2.1.5,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00130,betaine-aldehyde dehydrogenase [EC:1.2.1.8],1.2.1.8,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00131,glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],1.2.1.9,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00132,acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10],1.2.1.10,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00133,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],1.2.1.11,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Aspartate-semialdehyde dehydrogenase,COG0136,E,Amino Acid metabolis and transport
K00134,glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12],1.2.1.12,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,COG0057,G,Carbohydrate metabolism and transport
K00135,succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],1.2.1.16,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00137,aminobutyraldehyde dehydrogenase [EC:1.2.1.19],1.2.1.19,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00138,aldehyde dehydrogenase [EC:1.2.1.-],1.2.1.-,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00140,malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27],1.2.1.18,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00145,N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],1.2.1.38,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,N-acetyl-gamma-glutamylphosphate reductase,COG0002,E,Amino Acid metabolis and transport
K00146,phenylacetaldehyde dehydrogenase [EC:1.2.1.39],1.2.1.39,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00147,glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],1.2.1.41,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Gamma-glutamyl phosphate reductase,COG0014,E,Amino Acid metabolis and transport
K00148,glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],1.2.1.46,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,NA,NA,NA,NA
K00151,5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60],1.2.1.60,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00154,coniferyl-aldehyde dehydrogenase [EC:1.2.1.68],1.2.1.68,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase,COG1012,C,Energy production and conversion
K00155,L-tyrosine reductase [EC:1.2.1.101],1.2.1.101,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD(+) or NADP(+) as acceptor,Non-ribosomal peptide synthetase component F,COG1020,Q,Secondary Structure
K00156,pyruvate dehydrogenase (quinone) [EC:1.2.5.1],1.2.5.1,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a quinone or similar compound as acceptor,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme,COG0028,E,Amino Acid metabolis and transport
K00157,aldehyde oxidase [EC:1.2.3.1],1.2.3.1,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With oxygen as acceptor,NA,NA,NA,NA
K00158,pyruvate oxidase [EC:1.2.3.3],1.2.3.3,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With oxygen as acceptor,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme,COG0028,E,Amino Acid metabolis and transport
K00161,pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1],1.2.4.1,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a disulfide as acceptor,TPP-dependent pyruvate or acetoin dehydrogenase subunit alpha,COG1071,C,Energy production and conversion
K00162,pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1],1.2.4.1,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a disulfide as acceptor,"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component",COG0022,C,Energy production and conversion
K00163,pyruvate dehydrogenase E1 component [EC:1.2.4.1],1.2.4.1,Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a disulfide as acceptor,"Pyruvate dehydrogenase complex, dehydrogenase (E1) component",COG2609,C,Energy production and conversion
